年度季別,醫事機構代碼,醫事機構名稱,特約類別,血清白蛋白檢查人數,腹膜透析人數,血清白蛋白受檢率,檢測方法,院所腎臟專科醫師數,院所是否參與健保計畫,院所是否參與國健署計畫,縣市別,鄉鎮別
101年第三季,0101090517,臺北市立聯合醫院,區域醫院,26.00,28.00,0.9285,BCG,14,是,是,臺北市,大同區
101年第三季,0101090517,臺北市立聯合醫院,區域醫院,77.00,77.00,1.0000,BCG,14,是,是,臺北市,大同區
101年第三季,0101090517,臺北市立聯合醫院,區域醫院,6.00,6.00,1.0000,BCG,14,是,是,臺北市,大同區
101年第三季,0101090517,臺北市立聯合醫院,區域醫院,7.00,7.00,1.0000,BCP,14,是,是,臺北市,大同區
101年第四季,0101090517,臺北市立聯合醫院,區域醫院,30.00,32.00,0.9375,BCG,14,是,是,臺北市,大同區
101年第四季,0101090517,臺北市立聯合醫院,區域醫院,6.00,6.00,1.0000,BCG,14,是,是,臺北市,大同區
101年第四季,0101090517,臺北市立聯合醫院,區域醫院,7.00,7.00,1.0000,BCG,14,是,是,臺北市,大同區
101年第四季,0101090517,臺北市立聯合醫院,區域醫院,81.00,81.00,1.0000,BCG,14,是,是,臺北市,大同區
101年第四季,0101090517,臺北市立聯合醫院,區域醫院,29.00,29.00,1.0000,BCG,14,是,是,臺北市,大同區
102年第一季,0101090517,臺北市立聯合醫院,區域醫院,77.00,77.00,1.0000,BCG,14,是,否,臺北市,大同區
102年第一季,0101090517,臺北市立聯合醫院,區域醫院,7.00,7.00,1.0000,BCG,14,是,否,臺北市,大同區
102年第一季,0101090517,臺北市立聯合醫院,區域醫院,6.00,6.00,1.0000,BCP,14,是,否,臺北市,大同區
102年第一季,0101090517,臺北市立聯合醫院,區域醫院,32.00,32.00,1.0000,BCG,14,是,否,臺北市,大同區
102年第一季,0101090517,臺北市立聯合醫院,區域醫院,26.00,27.00,0.9629,BCG,14,是,否,臺北市,大同區
102年第二季,0101090517,臺北市立聯合醫院,區域醫院,7.00,10.00,0.7000,BCG,14,是,否,臺北市,大同區
102年第二季,0101090517,臺北市立聯合醫院,區域醫院,25.00,26.00,0.9615,BCG,14,是,否,臺北市,大同區
102年第二季,0101090517,臺北市立聯合醫院,區域醫院,29.00,30.00,0.9666,BCG,14,是,否,臺北市,大同區
102年第二季,0101090517,臺北市立聯合醫院,區域醫院,75.00,77.00,0.9740,BCG,14,是,否,臺北市,大同區
102年第二季,0101090517,臺北市立聯合醫院,區域醫院,6.00,6.00,1.0000,BCP,14,是,否,臺北市,大同區
102年第三季,0101090517,臺北市立聯合醫院,區域醫院,7.00,8.00,0.8750,BCG,15,是,否,臺北市,大同區
102年第三季,0101090517,臺北市立聯合醫院,區域醫院,27.00,28.00,0.9642,BCG,15,是,否,臺北市,大同區
102年第三季,0101090517,臺北市立聯合醫院,區域醫院,72.00,72.00,1.0000,BCG,15,是,否,臺北市,大同區
102年第三季,0101090517,臺北市立聯合醫院,區域醫院,26.00,28.00,0.9285,BCG,15,是,否,臺北市,大同區
102年第四季,0101090517,臺北市立聯合醫院,區域醫院,28.00,29.00,0.9655,BCG,16,是,否,臺北市,大同區
102年第四季,0101090517,臺北市立聯合醫院,區域醫院,5.00,7.00,0.7142,BCG,16,是,否,臺北市,大同區
102年第四季,0101090517,臺北市立聯合醫院,區域醫院,71.00,72.00,0.9861,BCG,16,是,否,臺北市,大同區
103年第一季,0101090517,臺北市立聯合醫院,區域醫院,25.00,26.00,0.9615,BCG,16,是,否,臺北市,大同區
103年第一季,0101090517,臺北市立聯合醫院,區域醫院,32.00,32.00,1.0000,BCG,16,是,否,臺北市,大同區
103年第一季,0101090517,臺北市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCG,16,是,否,臺北市,大同區
103年第一季,0101090517,臺北市立聯合醫院,區域醫院,73.00,74.00,0.9864,BCG,16,是,否,臺北市,大同區
103年第二季,0101090517,臺北市立聯合醫院,區域醫院,23.00,25.00,0.9200,BCG,16,是,否,臺北市,大同區
103年第二季,0101090517,臺北市立聯合醫院,區域醫院,33.00,33.00,1.0000,BCG,16,是,否,臺北市,大同區
103年第二季,0101090517,臺北市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCG,16,是,否,臺北市,大同區
103年第二季,0101090517,臺北市立聯合醫院,區域醫院,70.00,70.00,1.0000,BCG,16,是,否,臺北市,大同區
103年第三季,0101090517,臺北市立聯合醫院,區域醫院,21.00,21.00,1.0000,BCG,16,是,否,臺北市,大同區
103年第三季,0101090517,臺北市立聯合醫院,區域醫院,68.00,69.00,0.9855,BCG,16,是,否,臺北市,大同區
103年第三季,0101090517,臺北市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCG,16,是,否,臺北市,大同區
103年第三季,0101090517,臺北市立聯合醫院,區域醫院,33.00,33.00,1.0000,BCG,16,是,否,臺北市,大同區
103年第四季,0101090517,臺北市立聯合醫院,區域醫院,22.00,22.00,1.0000,BCG,16,是,否,臺北市,大同區
103年第四季,0101090517,臺北市立聯合醫院,區域醫院,69.00,69.00,1.0000,BCG,16,是,否,臺北市,大同區
103年第四季,0101090517,臺北市立聯合醫院,區域醫院,37.00,37.00,1.0000,BCG,16,是,否,臺北市,大同區
103年第四季,0101090517,臺北市立聯合醫院,區域醫院,3.00,3.00,1.0000,BCG,16,是,否,臺北市,大同區
104年第一季,0101090517,臺北市立聯合醫院,區域醫院,122.00,126.00,0.9683,BCG,16,是,否,臺北市,大同區
104年第二季,0101090517,臺北市立聯合醫院,區域醫院,122.00,123.00,0.9919,BCG,16,是,否,臺北市,大同區
104年第三季,0101090517,臺北市立聯合醫院,區域醫院,121.00,122.00,0.9918,BCG,16,是,否,臺北市,大同區
104年第四季,0101090517,臺北市立聯合醫院,區域醫院,118.00,121.00,0.9752,BCG,15,是,否,臺北市,大同區
105年第一季,0101090517,臺北市立聯合醫院,區域醫院,115.00,119.00,0.9664,BCG,15,是,否,臺北市,大同區
105年第二季,0101090517,臺北市立聯合醫院,區域醫院,113.00,117.00,0.9658,BCG,15,是,否,臺北市,大同區
105年第三季,0101090517,臺北市立聯合醫院,區域醫院,81.00,121.00,0.6694,BCG,15,是,否,臺北市,大同區
105年第四季,0101090517,臺北市立聯合醫院,區域醫院,81.00,113.00,0.7168,BCG,14,是,否,臺北市,大同區
106年第一季,0101090517,臺北市立聯合醫院,區域醫院,74.00,105.00,0.7048,BCG,15,是,否,臺北市,大同區
106年第二季,0101090517,臺北市立聯合醫院,區域醫院,91.00,94.00,0.9681,BCG,15,是,否,臺北市,大同區
106年第二季,0101090517,臺北市立聯合醫院,區域醫院,91.00,94.00,0.9681,BCP,15,是,否,臺北市,大同區
106年第三季,0101090517,臺北市立聯合醫院,區域醫院,91.00,93.00,0.9785,BCG,15,是,否,臺北市,大同區
106年第四季,0101090517,臺北市立聯合醫院,區域醫院,62.00,84.00,0.7381,BCG,15,是,否,臺北市,大同區
107年第一季,0101090517,臺北市立聯合醫院,區域醫院,80.00,83.00,0.9639,BCG,16,是,否,臺北市,大同區
107年第二季,0101090517,臺北市立聯合醫院,區域醫院,82.00,83.00,0.9880,BCG,16,是,否,臺北市,大同區
107年第三季,0101090517,臺北市立聯合醫院,區域醫院,80.00,81.00,0.9877,BCG,17,是,否,臺北市,大同區
107年第四季,0101090517,臺北市立聯合醫院,區域醫院,81.00,81.00,1.0000,BCG,17,是,否,臺北市,大同區
108年第一季,0101090517,臺北市立聯合醫院,區域醫院,79.00,79.00,1.0000,BCG,17,是,否,臺北市,大同區
108年第二季,0101090517,臺北市立聯合醫院,區域醫院,78.00,79.00,0.9873,BCG,17,是,否,臺北市,大同區
108年第三季,0101090517,臺北市立聯合醫院,區域醫院,73.00,73.00,1.0000,BCG,16,是,否,臺北市,大同區
108年第四季,0101090517,臺北市立聯合醫院,區域醫院,47.00,68.00,0.6912,BCG,16,是,否,臺北市,大同區
109年第一季,0101090517,臺北市立聯合醫院,區域醫院,67.00,67.00,1.0000,BCG,16,是,否,臺北市,大同區
109年第二季,0101090517,臺北市立聯合醫院,區域醫院,69.00,69.00,1.0000,BCG,16,是,否,臺北市,大同區
109年第三季,0101090517,臺北市立聯合醫院,區域醫院,66.00,66.00,1.0000,BCG,16,是,否,臺北市,大同區
109年第四季,0101090517,臺北市立聯合醫院,區域醫院,67.00,67.00,1.0000,BCG,16,是,否,臺北市,大同區
110年第一季,0101090517,臺北市立聯合醫院,區域醫院,64.00,64.00,1.0000,BCG,16,是,否,臺北市,大同區
110年第二季,0101090517,臺北市立聯合醫院,區域醫院,68.00,70.00,0.9714,BCG,16,是,否,臺北市,大同區
110年第三季,0101090517,臺北市立聯合醫院,區域醫院,65.00,66.00,0.9848,BCG,15,是,否,臺北市,大同區
110年第四季,0101090517,臺北市立聯合醫院,區域醫院,60.00,60.00,1.0000,BCG,16,是,否,臺北市,大同區
111年第一季,0101090517,臺北市立聯合醫院,區域醫院,59.00,60.00,0.9833,BCG,16,是,否,臺北市,大同區
111年第二季,0101090517,臺北市立聯合醫院,區域醫院,56.00,56.00,1.0000,BCG,16,是,否,臺北市,大同區
111年第三季,0101090517,臺北市立聯合醫院,區域醫院,51.00,51.00,1.0000,BCG,14,是,否,臺北市,大同區
111年第四季,0101090517,臺北市立聯合醫院,區域醫院,32.00,55.00,0.5818,BCG,14,是,否,臺北市,大同區
112年第一季,0101090517,臺北市立聯合醫院,區域醫院,28.00,52.00,0.5385,BCG,15,是,否,臺北市,大同區
112年第二季,0101090517,臺北市立聯合醫院,區域醫院,28.00,54.00,0.5185,BCG,14,是,否,臺北市,大同區
95年第一季,0102020011,高雄市立聯合醫院,區域醫院,5.00,5.00,1.0000,BCP,3,否,否,高雄市,鼓山區
95年第二季,0102020011,高雄市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCP,3,否,否,高雄市,鼓山區
95年第三季,0102020011,高雄市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCP,3,否,否,高雄市,鼓山區
95年第四季,0102020011,高雄市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCP,3,否,否,高雄市,鼓山區
96年第一季,0102020011,高雄市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCP,3,是,否,高雄市,鼓山區
96年第二季,0102020011,高雄市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCP,3,是,否,高雄市,鼓山區
96年第三季,0102020011,高雄市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCP,3,是,否,高雄市,鼓山區
96年第四季,0102020011,高雄市立聯合醫院,區域醫院,3.00,3.00,1.0000,BCP,3,是,否,高雄市,鼓山區
97年第一季,0102020011,高雄市立聯合醫院,區域醫院,3.00,3.00,1.0000,BCP,3,是,否,高雄市,鼓山區
97年第二季,0102020011,高雄市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCP,3,是,否,高雄市,鼓山區
97年第三季,0102020011,高雄市立聯合醫院,區域醫院,5.00,5.00,1.0000,BCP,5,是,否,高雄市,鼓山區
97年第四季,0102020011,高雄市立聯合醫院,區域醫院,5.00,5.00,1.0000,BCP,4,是,否,高雄市,鼓山區
98年第一季,0102020011,高雄市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCP,4,是,否,高雄市,鼓山區
98年第二季,0102020011,高雄市立聯合醫院,區域醫院,3.00,3.00,1.0000,BCP,4,是,否,高雄市,鼓山區
98年第三季,0102020011,高雄市立聯合醫院,區域醫院,3.00,3.00,1.0000,BCP,3,是,否,高雄市,鼓山區
98年第四季,0102020011,高雄市立聯合醫院,區域醫院,3.00,3.00,1.0000,BCP,3,是,否,高雄市,鼓山區
99年第一季,0102020011,高雄市立聯合醫院,區域醫院,3.00,3.00,1.0000,BCP,2,是,否,高雄市,鼓山區
99年第二季,0102020011,高雄市立聯合醫院,區域醫院,2.00,2.00,1.0000,BCP,2,是,否,高雄市,鼓山區
99年第三季,0102020011,高雄市立聯合醫院,區域醫院,2.00,2.00,1.0000,BCP,2,是,否,高雄市,鼓山區
99年第四季,0102020011,高雄市立聯合醫院,區域醫院,2.00,2.00,1.0000,BCG,2,是,否,高雄市,鼓山區
100年第一季,0102020011,高雄市立聯合醫院,區域醫院,1.00,1.00,1.0000,BCG,2,是,,高雄市,鼓山區
100年第二季,0102020011,高雄市立聯合醫院,區域醫院,1.00,1.00,1.0000,BCG,2,是,,高雄市,鼓山區
100年第三季,0102020011,高雄市立聯合醫院,區域醫院,1.00,1.00,1.0000,BCG,2,是,否,高雄市,鼓山區
100年第四季,0102020011,高雄市立聯合醫院,區域醫院,1.00,1.00,1.0000,BCG,2,是,否,高雄市,鼓山區
101年第一季,0102020011,高雄市立聯合醫院,區域醫院,1.00,1.00,1.0000,BCG,2,是,否,高雄市,鼓山區
101年第二季,0102020011,高雄市立聯合醫院,區域醫院,1.00,1.00,1.0000,BCG,2,是,否,高雄市,鼓山區
101年第三季,0102020011,高雄市立聯合醫院,區域醫院,1.00,1.00,1.0000,BCG,3,是,否,高雄市,鼓山區
101年第四季,0102020011,高雄市立聯合醫院,區域醫院,1.00,1.00,1.0000,BCG,3,是,否,高雄市,鼓山區
102年第一季,0102020011,高雄市立聯合醫院,區域醫院,1.00,1.00,1.0000,BCG,3,是,否,高雄市,鼓山區
102年第二季,0102020011,高雄市立聯合醫院,區域醫院,1.00,1.00,1.0000,BCG,3,是,否,高雄市,鼓山區
102年第三季,0102020011,高雄市立聯合醫院,區域醫院,1.00,1.00,1.0000,BCG,3,是,否,高雄市,鼓山區
102年第四季,0102020011,高雄市立聯合醫院,區域醫院,1.00,1.00,1.0000,BCG,3,是,否,高雄市,鼓山區
102年第一季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,4.00,4.00,1.0000,BCG,2,是,是,高雄市,前金區
102年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,4.00,4.00,1.0000,BCG,2,是,是,高雄市,前金區
102年第三季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,4.00,4.00,1.0000,BCG,3,是,是,高雄市,前金區
102年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,7.00,7.00,1.0000,BCG,3,是,是,高雄市,前金區
103年第一季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,8.00,9.00,0.8888,BCG,3,是,是,高雄市,前金區
103年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,15.00,15.00,1.0000,BCG,3,是,是,高雄市,前金區
103年第三季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,17.00,17.00,1.0000,BCG,3,是,是,高雄市,前金區
103年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,12.00,12.00,1.0000,BCG,3,是,是,高雄市,前金區
104年第一季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,11.00,12.00,0.9167,BCG,3,是,是,高雄市,前金區
104年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,13.00,13.00,1.0000,BCG,3,是,是,高雄市,前金區
104年第三季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,16.00,16.00,1.0000,BCG,3,是,否,高雄市,前金區
104年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,14.00,15.00,0.9333,BCG,3,是,否,高雄市,前金區
105年第一季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,14.00,14.00,1.0000,BCG,3,是,是,高雄市,前金區
105年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,18.00,18.00,1.0000,BCG,3,是,是,高雄市,前金區
105年第三季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,22.00,23.00,0.9565,BCG,2,是,否,高雄市,前金區
105年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,21.00,21.00,1.0000,BCG,2,是,否,高雄市,前金區
106年第一季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,19.00,20.00,0.9500,BCG,2,是,是,高雄市,前金區
106年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,18.00,18.00,1.0000,BCG,2,是,是,高雄市,前金區
106年第三季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,19.00,19.00,1.0000,BCG,2,是,否,高雄市,前金區
106年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,19.00,19.00,1.0000,BCG,3,是,否,高雄市,前金區
107年第一季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,22.00,22.00,1.0000,BCG,3,是,否,高雄市,前金區
107年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,20.00,20.00,1.0000,BCG,3,是,否,高雄市,前金區
107年第三季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,19.00,19.00,1.0000,BCG,3,是,否,高雄市,前金區
107年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,16.00,16.00,1.0000,BCG,3,是,否,高雄市,前金區
108年第一季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,18.00,18.00,1.0000,BCG,3,是,否,高雄市,前金區
