年度,醫事機構代碼,醫事機構名稱,特約類別,瘻管重建人次數,血液透析透析人月數,瘻管重建率_每1000人月,院所腎臟專科醫師數,院所是否參與健保計畫,院所是否參與國健署計畫,縣市別,鄉鎮別
100年第四季,0101090517,臺北市立聯合醫院,區域醫院,4.00,786.40,0.0050,11,是,否,臺北市,大同區
101年第二季,0101090517,臺北市立聯合醫院,區域醫院,0.00,893.30,0.0000,12,是,是,臺北市,大同區
101年第二季,0101090517,臺北市立聯合醫院,區域醫院,1.00,445.90,0.0022,12,是,是,臺北市,大同區
101年第二季,0101090517,臺北市立聯合醫院,區域醫院,0.00,528.60,0.0000,12,是,是,臺北市,大同區
101年第二季,0101090517,臺北市立聯合醫院,區域醫院,3.00,721.60,0.0041,12,是,是,臺北市,大同區
101年第二季,0101090517,臺北市立聯合醫院,區域醫院,1.00,815.80,0.0012,12,是,是,臺北市,大同區
101年第四季,0101090517,臺北市立聯合醫院,區域醫院,1.00,757.10,0.0013,14,是,是,臺北市,大同區
101年第四季,0101090517,臺北市立聯合醫院,區域醫院,4.00,536.80,0.0074,14,是,是,臺北市,大同區
101年第四季,0101090517,臺北市立聯合醫院,區域醫院,0.00,411.70,0.0000,14,是,是,臺北市,大同區
101年第四季,0101090517,臺北市立聯合醫院,區域醫院,0.00,837.50,0.0000,14,是,是,臺北市,大同區
101年第四季,0101090517,臺北市立聯合醫院,區域醫院,1.00,890.70,0.0011,14,是,是,臺北市,大同區
102年第二季,0101090517,臺北市立聯合醫院,區域醫院,4.00,710.10,0.0056,14,是,否,臺北市,大同區
102年第二季,0101090517,臺北市立聯合醫院,區域醫院,0.00,502.40,0.0000,14,是,否,臺北市,大同區
102年第二季,0101090517,臺北市立聯合醫院,區域醫院,0.00,455.70,0.0000,14,是,否,臺北市,大同區
102年第二季,0101090517,臺北市立聯合醫院,區域醫院,0.00,825.70,0.0000,14,是,否,臺北市,大同區
102年第二季,0101090517,臺北市立聯合醫院,區域醫院,1.00,879.60,0.0011,14,是,否,臺北市,大同區
102年第四季,0101090517,臺北市立聯合醫院,區域醫院,5.00,507.50,0.0098,16,是,否,臺北市,大同區
102年第四季,0101090517,臺北市立聯合醫院,區域醫院,10.00,695.60,0.0143,16,是,否,臺北市,大同區
102年第四季,0101090517,臺北市立聯合醫院,區域醫院,3.00,826.10,0.0036,16,是,否,臺北市,大同區
103年第二季,0101090517,臺北市立聯合醫院,區域醫院,1.00,516.00,0.0019,16,是,否,臺北市,大同區
103年第二季,0101090517,臺北市立聯合醫院,區域醫院,5.00,688.90,0.0072,16,是,否,臺北市,大同區
103年第二季,0101090517,臺北市立聯合醫院,區域醫院,2.00,787.40,0.0025,16,是,否,臺北市,大同區
103年第二季,0101090517,臺北市立聯合醫院,區域醫院,1.00,819.90,0.0012,16,是,否,臺北市,大同區
103年第四季,0101090517,臺北市立聯合醫院,區域醫院,5.00,516.60,0.0096,16,是,否,臺北市,大同區
103年第四季,0101090517,臺北市立聯合醫院,區域醫院,4.00,692.70,0.0057,16,是,否,臺北市,大同區
103年第四季,0101090517,臺北市立聯合醫院,區域醫院,0.00,850.70,0.0000,16,是,否,臺北市,大同區
103年第四季,0101090517,臺北市立聯合醫院,區域醫院,3.00,836.60,0.0035,16,是,否,臺北市,大同區
104年第二季,0101090517,臺北市立聯合醫院,區域醫院,14.00,3912.00,0.0036,16,是,否,臺北市,大同區
104年第四季,0101090517,臺北市立聯合醫院,區域醫院,4.00,3915.00,0.0010,15,是,否,臺北市,大同區
105年第二季,0101090517,臺北市立聯合醫院,區域醫院,4.00,3978.00,0.0010,15,是,否,臺北市,大同區
105年第四季,0101090517,臺北市立聯合醫院,區域醫院,8.00,3924.00,0.0020,14,是,否,臺北市,大同區
106年第二季,0101090517,臺北市立聯合醫院,區域醫院,9.00,4027.00,0.0022,15,是,否,臺北市,大同區
106年第四季,0101090517,臺北市立聯合醫院,區域醫院,10.00,4086.00,0.0024,15,是,否,臺北市,大同區
107年第二季,0101090517,臺北市立聯合醫院,區域醫院,5.00,4091.00,0.0012,16,是,否,臺北市,大同區
107年第四季,0101090517,臺北市立聯合醫院,區域醫院,7.00,4072.00,0.0017,17,是,否,臺北市,大同區
108年第二季,0101090517,臺北市立聯合醫院,區域醫院,8.00,4056.00,0.0020,17,是,否,臺北市,大同區
108年第四季,0101090517,臺北市立聯合醫院,區域醫院,7.00,3980.00,0.0018,16,是,否,臺北市,大同區
109年第二季,0101090517,臺北市立聯合醫院,區域醫院,2.00,3599.00,0.0006,16,是,否,臺北市,大同區
109年第四季,0101090517,臺北市立聯合醫院,區域醫院,5.00,3514.00,0.0014,16,是,否,臺北市,大同區
110年第二季,0101090517,臺北市立聯合醫院,區域醫院,2.00,3537.00,0.0006,16,是,否,臺北市,大同區
110年第四季,0101090517,臺北市立聯合醫院,區域醫院,3.00,3257.00,0.0009,16,是,否,臺北市,大同區
111年第二季,0101090517,臺北市立聯合醫院,區域醫院,3.00,3162.00,0.0009,16,是,否,臺北市,大同區
111年第四季,0101090517,臺北市立聯合醫院,區域醫院,3.00,3174.00,0.0009,14,是,否,臺北市,大同區
112年第二季,0101090517,臺北市立聯合醫院,區域醫院,4.00,3103.00,0.0013,14,是,否,臺北市,大同區
95年第二季,0102020011,高雄市立聯合醫院,區域醫院,17.00,1123.90,0.0151,3,否,否,高雄市,鼓山區
95年第四季,0102020011,高雄市立聯合醫院,區域醫院,15.00,1058.10,0.0141,3,否,否,高雄市,鼓山區
96年第二季,0102020011,高雄市立聯合醫院,區域醫院,16.00,1001.60,0.0159,3,是,否,高雄市,鼓山區
96年第四季,0102020011,高雄市立聯合醫院,區域醫院,21.00,1035.60,0.0202,3,是,否,高雄市,鼓山區
97年第二季,0102020011,高雄市立聯合醫院,區域醫院,10.00,1110.80,0.0090,3,是,否,高雄市,鼓山區
97年第四季,0102020011,高雄市立聯合醫院,區域醫院,5.00,1108.80,0.0045,4,是,否,高雄市,鼓山區
98年第二季,0102020011,高雄市立聯合醫院,區域醫院,6.00,1107.80,0.0054,4,是,否,高雄市,鼓山區
98年第四季,0102020011,高雄市立聯合醫院,區域醫院,0.00,339.40,0.0000,3,是,否,高雄市,鼓山區
98年第四季,0102020011,高雄市立聯合醫院,區域醫院,5.00,746.30,0.0066,3,是,否,高雄市,鼓山區
99年第二季,0102020011,高雄市立聯合醫院,區域醫院,5.00,836.70,0.0059,2,是,否,高雄市,鼓山區
99年第四季,0102020011,高雄市立聯合醫院,區域醫院,7.00,852.90,0.0082,2,是,否,高雄市,鼓山區
100年第二季,0102020011,高雄市立聯合醫院,區域醫院,9.00,876.30,0.0102,2,是,,高雄市,鼓山區
100年第四季,0102020011,高雄市立聯合醫院,區域醫院,6.00,890.70,0.0067,2,是,否,高雄市,鼓山區
101年第二季,0102020011,高雄市立聯合醫院,區域醫院,8.00,819.00,0.0097,2,是,否,高雄市,鼓山區
101年第四季,0102020011,高雄市立聯合醫院,區域醫院,9.00,817.70,0.0110,3,是,否,高雄市,鼓山區
102年第二季,0102020011,高雄市立聯合醫院,區域醫院,0.00,830.20,0.0000,3,是,否,高雄市,鼓山區
102年第四季,0102020011,高雄市立聯合醫院,區域醫院,2.00,817.60,0.0024,3,是,否,高雄市,鼓山區
103年第二季,0102020011,高雄市立聯合醫院,區域醫院,2.00,788.40,0.0025,3,是,否,高雄市,鼓山區
103年第四季,0102020011,高雄市立聯合醫院,區域醫院,0.00,792.20,0.0000,3,是,否,高雄市,鼓山區
104年第二季,0102020011,高雄市立聯合醫院,區域醫院,2.00,858.00,0.0023,2,是,否,高雄市,鼓山區
104年第四季,0102020011,高雄市立聯合醫院,區域醫院,1.00,842.00,0.0012,2,是,否,高雄市,鼓山區
105年第二季,0102020011,高雄市立聯合醫院,區域醫院,2.00,867.00,0.0023,2,是,否,高雄市,鼓山區
105年第四季,0102020011,高雄市立聯合醫院,區域醫院,3.00,789.00,0.0038,2,是,否,高雄市,鼓山區
106年第二季,0102020011,高雄市立聯合醫院,區域醫院,0.00,752.00,0.0000,2,是,否,高雄市,鼓山區
106年第四季,0102020011,高雄市立聯合醫院,區域醫院,2.00,728.00,0.0027,3,是,否,高雄市,鼓山區
107年第二季,0102020011,高雄市立聯合醫院,區域醫院,0.00,793.00,0.0000,3,是,否,高雄市,鼓山區
107年第四季,0102020011,高雄市立聯合醫院,區域醫院,1.00,794.00,0.0013,3,是,否,高雄市,鼓山區
108年第二季,0102020011,高雄市立聯合醫院,區域醫院,0.00,843.00,0.0000,3,是,否,高雄市,鼓山區
108年第四季,0102020011,高雄市立聯合醫院,區域醫院,2.00,831.00,0.0024,4,是,否,高雄市,鼓山區
109年第二季,0102020011,高雄市立聯合醫院,區域醫院,1.00,662.00,0.0015,4,是,否,高雄市,鼓山區
109年第四季,0102020011,高雄市立聯合醫院,區域醫院,0.00,648.00,0.0000,4,是,否,高雄市,鼓山區
110年第二季,0102020011,高雄市立聯合醫院,區域醫院,1.00,653.00,0.0015,2,是,否,高雄市,鼓山區
110年第四季,0102020011,高雄市立聯合醫院,區域醫院,0.00,595.00,0.0000,3,是,否,高雄市,鼓山區
111年第二季,0102020011,高雄市立聯合醫院,區域醫院,0.00,640.00,0.0000,3,是,否,高雄市,鼓山區
111年第四季,0102020011,高雄市立聯合醫院,區域醫院,0.00,588.00,0.0000,2,是,否,高雄市,鼓山區
112年第二季,0102020011,高雄市立聯合醫院,區域醫院,0.00,598.00,0.0000,2,是,否,高雄市,鼓山區
99年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,0.00,156.80,0.0000,1,是,是,高雄市,前金區
99年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,0.00,175.70,0.0000,2,是,是,高雄市,前金區
100年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,1.00,257.40,0.0038,2,是,,高雄市,前金區
100年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,0.00,309.20,0.0000,2,是,否,高雄市,前金區
101年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,0.00,415.80,0.0000,2,是,是,高雄市,前金區
101年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,0.00,462.40,0.0000,2,是,是,高雄市,前金區
102年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,2.00,559.20,0.0035,2,是,是,高雄市,前金區
102年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,8.00,638.00,0.0125,3,是,是,高雄市,前金區
103年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,0.00,678.10,0.0000,3,是,是,高雄市,前金區
103年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,0.00,726.50,0.0000,3,是,是,高雄市,前金區
104年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,1.00,910.00,0.0011,3,是,是,高雄市,前金區
104年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,3.00,922.00,0.0033,3,是,否,高雄市,前金區
105年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,0.00,966.00,0.0000,3,是,是,高雄市,前金區
105年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,0.00,975.00,0.0000,2,是,否,高雄市,前金區
106年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,2.00,1017.00,0.0020,2,是,是,高雄市,前金區
106年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,1.00,1039.00,0.0010,3,是,否,高雄市,前金區
107年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,0.00,1124.00,0.0000,3,是,否,高雄市,前金區
107年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,1.00,1160.00,0.0009,3,是,否,高雄市,前金區
108年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,1.00,1222.00,0.0008,3,是,否,高雄市,前金區
108年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,4.00,1315.00,0.0030,3,是,否,高雄市,前金區
109年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,0.00,1287.00,0.0000,4,是,否,高雄市,前金區
109年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,1.00,1349.00,0.0007,4,是,否,高雄市,前金區
110年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,1.00,1400.00,0.0007,5,是,否,高雄市,前金區
110年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,0.00,1318.00,0.0000,5,是,否,高雄市,前金區
111年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,2.00,1361.00,0.0015,5,是,否,高雄市,前金區
111年第四季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,3.00,1350.00,0.0022,4,是,否,高雄市,前金區
112年第二季,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),區域醫院,0.00,1361.00,0.0000,5,是,否,高雄市,前金區
95年第二季,0102080017,高雄市立民生醫院,地區醫院,0.00,217.10,0.0000,2,否,否,高雄市,苓雅區
95年第四季,0102080017,高雄市立民生醫院,地區醫院,0.00,229.70,0.0000,2,是,否,高雄市,苓雅區
96年第二季,0102080017,高雄市立民生醫院,地區醫院,0.00,239.40,0.0000,2,是,否,高雄市,苓雅區
96年第四季,0102080017,高雄市立民生醫院,地區醫院,0.00,275.20,0.0000,2,是,否,高雄市,苓雅區
97年第二季,0102080017,高雄市立民生醫院,地區醫院,0.00,287.30,0.0000,2,是,否,高雄市,苓雅區
97年第四季,0102080017,高雄市立民生醫院,地區醫院,0.00,299.40,0.0000,2,是,否,高雄市,苓雅區
98年第二季,0102080017,高雄市立民生醫院,地區醫院,0.00,290.50,0.0000,2,是,否,高雄市,苓雅區
104年第四季,0102080017,高雄市立民生醫院,地區醫院,0.00,5.00,0.0000,1,否,否,高雄市,苓雅區
105年第二季,0102080017,高雄市立民生醫院,地區醫院,0.00,61.00,0.0000,1,否,否,高雄市,苓雅區
105年第四季,0102080017,高雄市立民生醫院,地區醫院,1.00,82.00,0.0122,1,否,否,高雄市,苓雅區
106年第二季,0102080017,高雄市立民生醫院,地區醫院,0.00,145.00,0.0000,1,是,否,高雄市,苓雅區
106年第四季,0102080017,高雄市立民生醫院,地區醫院,0.00,191.00,0.0000,2,是,否,高雄市,苓雅區
107年第二季,0102080017,高雄市立民生醫院,地區醫院,0.00,233.00,0.0000,1,是,否,高雄市,苓雅區
107年第四季,0102080017,高雄市立民生醫院,地區醫院,0.00,237.00,0.0000,2,是,否,高雄市,苓雅區
108年第二季,0102080017,高雄市立民生醫院,地區醫院,0.00,280.00,0.0000,1,是,否,高雄市,苓雅區
108年第四季,0102080017,高雄市立民生醫院,地區醫院,0.00,278.00,0.0000,1,是,否,高雄市,苓雅區
109年第二季,0102080017,高雄市立民生醫院,地區醫院,0.00,282.00,0.0000,1,是,否,高雄市,苓雅區
109年第四季,0102080017,高雄市立民生醫院,地區醫院,2.00,306.00,0.0065,1,是,否,高雄市,苓雅區
110年第二季,0102080017,高雄市立民生醫院,地區醫院,0.00,301.00,0.0000,1,是,否,高雄市,苓雅區
110年第四季,0102080017,高雄市立民生醫院,地區醫院,0.00,220.00,0.0000,2,是,否,高雄市,苓雅區
111年第二季,0102080017,高雄市立民生醫院,地區醫院,0.00,310.00,0.0000,2,是,否,高雄市,苓雅區
111年第四季,0102080017,高雄市立民生醫院,地區醫院,0.00,344.00,0.0000,2,是,否,高雄市,苓雅區
112年第二季,0102080017,高雄市立民生醫院,地區醫院,0.00,359.00,0.0000,1,是,否,高雄市,苓雅區
95年第二季,0111070010,衛生福利部基隆醫院,區域醫院,1.00,864.20,0.0011,2,否,否,基隆市,信義區
95年第四季,0111070010,衛生福利部基隆醫院,區域醫院,0.00,841.10,0.0000,2,否,否,基隆市,信義區
96年第二季,0111070010,衛生福利部基隆醫院,區域醫院,1.00,890.70,0.0011,2,是,否,基隆市,信義區
96年第四季,0111070010,衛生福利部基隆醫院,區域醫院,0.00,910.20,0.0000,2,是,否,基隆市,信義區
97年第二季,0111070010,衛生福利部基隆醫院,區域醫院,3.00,951.80,0.0031,2,是,否,基隆市,信義區
97年第四季,0111070010,衛生福利部基隆醫院,區域醫院,1.00,971.60,0.0010,2,是,否,基隆市,信義區
98年第二季,0111070010,衛生福利部基隆醫院,區域醫院,1.00,567.60,0.0017,2,是,否,基隆市,信義區
98年第四季,0111070010,衛生福利部基隆醫院,區域醫院,5.00,994.90,0.0050,2,是,否,基隆市,信義區
99年第二季,0111070010,衛生福利部基隆醫院,區域醫院,5.00,959.30,0.0052,2,是,否,基隆市,信義區
99年第四季,0111070010,衛生福利部基隆醫院,區域醫院,8.00,2466.60,0.0032,2,是,否,基隆市,信義區
100年第二季,0111070010,衛生福利部基隆醫院,區域醫院,1.00,963.80,0.0010,2,是,,基隆市,信義區
100年第四季,0111070010,衛生福利部基隆醫院,區域醫院,0.00,959.50,0.0000,2,是,否,基隆市,信義區
101年第二季,0111070010,衛生福利部基隆醫院,區域醫院,4.00,938.40,0.0042,2,是,否,基隆市,信義區
101年第四季,0111070010,衛生福利部基隆醫院,區域醫院,1.00,932.30,0.0010,2,是,否,基隆市,信義區
102年第二季,0111070010,衛生福利部基隆醫院,區域醫院,0.00,833.90,0.0000,2,是,否,基隆市,信義區
102年第四季,0111070010,衛生福利部基隆醫院,區域醫院,0.00,835.20,0.0000,2,是,否,基隆市,信義區
103年第二季,0111070010,衛生福利部基隆醫院,區域醫院,0.00,824.40,0.0000,3,是,否,基隆市,信義區
103年第四季,0111070010,衛生福利部基隆醫院,區域醫院,0.00,858.50,0.0000,3,是,否,基隆市,信義區
104年第二季,0111070010,衛生福利部基隆醫院,區域醫院,0.00,954.00,0.0000,3,是,是,基隆市,信義區
104年第四季,0111070010,衛生福利部基隆醫院,區域醫院,0.00,970.00,0.0000,3,是,否,基隆市,信義區
105年第二季,0111070010,衛生福利部基隆醫院,區域醫院,0.00,1012.00,0.0000,3,是,是,基隆市,信義區
105年第四季,0111070010,衛生福利部基隆醫院,區域醫院,0.00,1003.00,0.0000,3,是,否,基隆市,信義區
106年第二季,0111070010,衛生福利部基隆醫院,區域醫院,0.00,997.00,0.0000,3,是,是,基隆市,信義區
106年第四季,0111070010,衛生福利部基隆醫院,區域醫院,0.00,1009.00,0.0000,3,是,否,基隆市,信義區
107年第二季,0111070010,衛生福利部基隆醫院,區域醫院,0.00,1053.00,0.0000,3,是,否,基隆市,信義區
107年第四季,0111070010,衛生福利部基隆醫院,區域醫院,0.00,1026.00,0.0000,3,是,否,基隆市,信義區
108年第二季,0111070010,衛生福利部基隆醫院,區域醫院,0.00,1045.00,0.0000,3,是,否,基隆市,信義區
108年第四季,0111070010,衛生福利部基隆醫院,區域醫院,0.00,995.00,0.0000,3,是,否,基隆市,信義區
109年第二季,0111070010,衛生福利部基隆醫院,區域醫院,3.00,889.00,0.0034,3,是,否,基隆市,信義區
109年第四季,0111070010,衛生福利部基隆醫院,區域醫院,5.00,800.00,0.0063,2,是,否,基隆市,信義區
110年第二季,0111070010,衛生福利部基隆醫院,區域醫院,2.00,761.00,0.0026,2,是,否,基隆市,信義區
110年第四季,0111070010,衛生福利部基隆醫院,區域醫院,1.00,739.00,0.0014,2,是,否,基隆市,信義區
111年第二季,0111070010,衛生福利部基隆醫院,區域醫院,6.00,852.00,0.0070,2,是,否,基隆市,信義區
111年第四季,0111070010,衛生福利部基隆醫院,區域醫院,3.00,812.00,0.0037,2,是,否,基隆市,信義區
112年第二季,0111070010,衛生福利部基隆醫院,區域醫院,2.00,832.00,0.0024,3,是,否,基隆市,信義區
95年第二季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,777.80,0.0025,1,否,否,臺中市,西區
95年第四季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,757.90,0.0026,1,否,否,臺中市,西區
96年第二季,0117030010,衛生福利部臺中醫院,區域醫院,3.00,722.00,0.0041,1,是,否,臺中市,西區
96年第四季,0117030010,衛生福利部臺中醫院,區域醫院,4.00,724.20,0.0055,1,是,否,臺中市,西區
97年第二季,0117030010,衛生福利部臺中醫院,區域醫院,1.00,801.50,0.0012,1,是,否,臺中市,西區
97年第四季,0117030010,衛生福利部臺中醫院,區域醫院,3.00,798.10,0.0037,1,是,否,臺中市,西區
98年第二季,0117030010,衛生福利部臺中醫院,區域醫院,10.00,759.20,0.0131,1,是,否,臺中市,西區
98年第四季,0117030010,衛生福利部臺中醫院,區域醫院,0.00,696.80,0.0000,1,是,否,臺中市,西區
99年第二季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,718.10,0.0027,2,是,否,臺中市,西區
99年第四季,0117030010,衛生福利部臺中醫院,區域醫院,1.00,790.40,0.0012,2,是,否,臺中市,西區
100年第二季,0117030010,衛生福利部臺中醫院,區域醫院,0.00,788.80,0.0000,2,是,,臺中市,西區
100年第四季,0117030010,衛生福利部臺中醫院,區域醫院,1.00,851.60,0.0011,2,是,否,臺中市,西區
101年第二季,0117030010,衛生福利部臺中醫院,區域醫院,0.00,794.20,0.0000,2,是,否,臺中市,西區
101年第四季,0117030010,衛生福利部臺中醫院,區域醫院,0.00,832.10,0.0000,2,是,否,臺中市,西區
102年第二季,0117030010,衛生福利部臺中醫院,區域醫院,0.00,821.50,0.0000,2,是,否,臺中市,西區
102年第四季,0117030010,衛生福利部臺中醫院,區域醫院,0.00,877.80,0.0000,2,是,否,臺中市,西區
103年第二季,0117030010,衛生福利部臺中醫院,區域醫院,0.00,860.20,0.0000,2,是,是,臺中市,西區
103年第四季,0117030010,衛生福利部臺中醫院,區域醫院,1.00,898.30,0.0011,2,是,是,臺中市,西區
104年第二季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,1029.00,0.0019,2,是,是,臺中市,西區
104年第四季,0117030010,衛生福利部臺中醫院,區域醫院,3.00,1038.00,0.0029,3,是,否,臺中市,西區
105年第二季,0117030010,衛生福利部臺中醫院,區域醫院,1.00,1036.00,0.0010,3,是,是,臺中市,西區
105年第四季,0117030010,衛生福利部臺中醫院,區域醫院,0.00,1025.00,0.0000,2,是,否,臺中市,西區
106年第二季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,1055.00,0.0019,2,是,是,臺中市,西區
106年第四季,0117030010,衛生福利部臺中醫院,區域醫院,0.00,1027.00,0.0000,2,是,否,臺中市,西區
107年第二季,0117030010,衛生福利部臺中醫院,區域醫院,0.00,1040.00,0.0000,2,是,否,臺中市,西區
107年第四季,0117030010,衛生福利部臺中醫院,區域醫院,0.00,1072.00,0.0000,2,是,否,臺中市,西區
108年第二季,0117030010,衛生福利部臺中醫院,區域醫院,1.00,1125.00,0.0009,2,是,否,臺中市,西區
108年第四季,0117030010,衛生福利部臺中醫院,區域醫院,0.00,1105.00,0.0000,2,是,否,臺中市,西區
109年第二季,0117030010,衛生福利部臺中醫院,區域醫院,10.00,1044.00,0.0096,2,是,否,臺中市,西區
109年第四季,0117030010,衛生福利部臺中醫院,區域醫院,8.00,1007.00,0.0079,2,是,否,臺中市,西區
110年第二季,0117030010,衛生福利部臺中醫院,區域醫院,7.00,965.00,0.0073,2,是,否,臺中市,西區
110年第四季,0117030010,衛生福利部臺中醫院,區域醫院,2.00,979.00,0.0020,2,是,否,臺中市,西區
111年第二季,0117030010,衛生福利部臺中醫院,區域醫院,6.00,922.00,0.0065,2,是,否,臺中市,西區
